;Nom;Commune;Type;Coord_X;Coord_Y;IsLyon;Category
2494;Centre Nautique E.Gagnaire;Villeurbanne;Salle de musculation/cardiotraining;4.90909;45.76702;True;Salle de sport
2495;Centre Nautique E.Gagnaire;Villeurbanne;Bassin ludique de natation;4.90959;45.76656;True;Natation
2496;Complexe Sportif Raphaël de Barros;Villeurbanne;Terrain de boules;4.88779;45.76927;True;Pétanque
2497;Complexe Sportif Louis Armand;Villeurbanne;Pas de tir à l'arc;4.88679;45.77848;True;Tir
2498;Complexe des Iris;Villeurbanne;Terrain de football;4.89942;45.76752;True;FootBall
2500;Ecole Chateau Gaillard;Villeurbanne;Salle multisports (gymnase);4.88922;45.77447;True;Gymnase
2501;Ecole Jean Moulin;Villeurbanne;Salle multisports (gymnase);4.89412;45.77651;True;Gymnase
2502;Ecole Berthelot;Villeurbanne;Dojo / Salle d'arts martiaux;4.8961;45.7587;True;Arts martiaux
2616;Lycée Jean-Baptiste de Lassale;Lyon 1er Arrondissement;Salle multisports (gymnase);4.82946;45.77207;True;Gymnase
2617;Ecole Primaire Michel Servet;Lyon 1er Arrondissement;Salles polyvalentes / des fêtes / non spécialisées;4.836788;45.771476;True;Gymnase
2618;Ecole Primaire Michel Servet;Lyon 1er Arrondissement;Terrain de basket-ball;4.83668;45.77247;True;BasketBall
2619;Complexe Sportif Duplat Genety;Lyon 1er Arrondissement;Salle de boxe;4.82015;45.77159;True;Arts martiaux
2620;Urban Tonic;Lyon 2e Arrondissement;Salle de musculation/cardiotraining;4.833894;45.761286;True;Salle de sport
2621;Lycée Ampère;Lyon 2e Arrondissement;Salle multisports (gymnase);4.83693;45.76535;True;Gymnase
