name;city;type;coord_X;coord_Y
Terrain de Football de Chevronet;Charnay;Terrain de football;4.6693;45.8974
Courts de Tennis;Chasselay;Court de tennis;4.76668;45.87317
Courts de Tennis;Chasselay;Court de tennis;4.76668;45.87317
Pôle Sportif;Chasselay;Court de tennis;4.772271;45.878053
La Manade;Chasselay;Carrière;4.78283;45.89716
Stade du Lac;Châtillon;Terrain de football;4.639163;45.874943
Boulodromes;Châtillon;Terrain de boules;4.64262;45.874
Salle des Sports;Châtillon;Salles polyvalentes / des fêtes / non spécialisées;4.6412;45.87417
Terrain Multisports;Châtillon;Plateau EPS/Multisports/city-stades;4.64475;45.87596
Mille Club;Châtillon;Salles polyvalentes / des fêtes / non spécialisées;4.64067;45.87377
Salle Saint Exupery;Chazay-d'Azergues;Salle multisports (gymnase);4.71114;45.8713
Zone Sportive;Les Chères;Court de tennis;4.74103;45.89057
Complexe Sportif Jean Bidon;Chessy;Terrain de pétanque;4.62011;45.88453
Circuits de Randonnees;Chiroubles;Boucle de randonnée;4.66706;46.18117
Collège Notre Dame;Claveisolles;Salle de tennis de table;4.49322;46.09959
Collège Notre Dame;Claveisolles;Terrain de football;4.49198;46.09999
Court de Tennis;Cogny;Court de tennis;4.6274;45.98618
Parc de la Jonchère;Collonges-au-Mont-d'Or;Terrain de football;4.8449;45.8149
Parc de la Jonchère;Collonges-au-Mont-d'Or;Parcours sportif/santé;4.844901;45.814896
Base de Ski Nautique;Collonges-au-Mont-d'Or;Stade de ski nautique;4.8459994;45.8316649
Ecole Primaire Publique;Condrieu;Salle de danse;4.76783;45.46448
Terrain Multisports;Cours;Plateau EPS/Multisports/city-stades;4.37708;46.11416
Complexe Sportif;Couzon-au-Mont-d'Or;Court de tennis;4.83296;45.84951
Salle d'Animation Rurale;Couzon-au-Mont-d'Or;Salles polyvalentes / des fêtes / non spécialisées;4.83126;45.84926
Stade Neveu;Craponne;Terrain de football;4.71027;45.74296
Salle des Fêtes Les Enfants de Craponne;Craponne;Salles polyvalentes / des fêtes / non spécialisées;4.72239;45.74459
Stade Bouliste;Craponne;Terrain de pétanque;4.72553;45.7447
Base de Loisirs Lac des Sapins;Cublize;Pas de tir à l'arc;4.36466;46.00394
Base de Loisirs Lac des Sapins;Cublize;Parcours fixe de course d’orientation;4.37703;46.01122
Site Naturel d'Escalade;Curis-au-Mont-d'Or;Site d'escalade en falaise;4.81313;45.86815
Skate Park de Dardilly;Dardilly;Skate park;4.7633;45.81081
Poney Club de Villedieu;Dardilly;Carrière;4.72806;45.81529
Poney Club de Villedieu;Dardilly;Carrière;4.72806;45.81529
Tennis Club des 4 Saisons;Dardilly;Court de tennis;4.73906;45.79208
Site de la Brocardiere;Dardilly;Terrain de football;4.76455;45.81167
Site de la Brocardiere;Dardilly;Piste de bicross;4.76647;45.81003
Boulodrome Departemental;Dardilly;Terrain de boules;4.76279;45.82067
Place du Village;Denicé;Terrain de boules;4.64622;46.00124
Jeux de Boules et Courts de Tennis;Denicé;Court de tennis;4.64394;46.00256
Jeux de Boules et Courts de Tennis;Denicé;Terrain de boules;4.64456;46.00227
Haras de Préjeurin;Échalas;Manège;4.71942;45.56034
College du Sacre Coeur;Écully;Terrain de handball;4.77448;45.76861
College du Sacre Coeur;Écully;Terrain de football;4.77564;45.76908
Genae;Écully;Salle de cours collectifs;4.781581;45.786599
Gymnase du Perollier;Écully;Salle multisports (gymnase);4.78225;45.79069
Gymnase des Cerisiers;Écully;Salle multisports (gymnase);4.78571;45.78275
Court de Tennis;Écully;Court de tennis;4.76645;45.7761
Salle Louis Chirpas;Écully;Plateau EPS/Multisports/city-stades;4.77241;45.77421
College Laurent Mouguet;Écully;Aire de saut;4.78418;45.78165
College Laurent Mouguet;Écully;Piste d'athlétisme isolée;4.78416;45.78119
Lycée Professionnel François Cevert;Écully;Plateau EPS/Multisports/city-stades;4.78865;45.78411
Ecole Centrale;Écully;Court de tennis;4.769996;45.783194
Salle d'Animation;Éveux;Salles polyvalentes / des fêtes / non spécialisées;4.62395;45.82619
Circuits de Randonnee - Place de l'Eglise;Fleurie;Boucle de randonnée;4.6967;46.1924
Site Sncf;Fleurieu-sur-Saône;Terrain de basket-ball;4.84477;45.85923
Circuits de Randonnees - Place du Village;Fleurieux-sur-l'Arbresle;Boucle de randonnée;4.65179;45.8371
Complexe Sportif;Fleurieux-sur-l'Arbresle;Salles polyvalentes / des fêtes / non spécialisées;4.65197;45.83461
Complexe Sportif;Fleurieux-sur-l'Arbresle;Dojo / Salle d'arts martiaux;4.65197;45.83461
Aire de Jeux de la Sarra;Fontaines-Saint-Martin;Mur de tennis;4.85386;45.84665
Gymnase des Ronzieres;Fontaines-sur-Saône;Court de tennis;4.85516;45.83404
Société Sportive des Acqueducs;Francheville;Court de tennis;4.75961;45.72724
Espace Jeune des Hermières;Francheville;Skate park;4.7684;45.74101
Essor de Bel Air;Francheville;Court de tennis;4.75648;45.74613
Circuits de Randonnees ( Office du Tourisme );Givors;Boucle de randonnée;4.77601;45.5846
Sport Light;Givors;Salle de boxe;4.74633;45.58266
Terrain de Football Bans;Givors;Terrain de football;4.791224;45.572644
Boule Joyeuse;Givors;Terrain de boules;4.772333;45.591312
Salle de Tir Louise Michel;Givors;Pas de tir à la cible;4.76294;45.60627
Gymnase Jolio Curie;Givors;Salle multisports (gymnase);4.7682;45.59708
Parc des Sports;Givors;Salle de gymnastique sportive;4.77055;45.60103
Parc des Sports;Givors;Salle de boxe;4.77055;45.60103
Parc des Sports;Givors;Dojo / Salle d'arts martiaux;4.77055;45.60103
Parc des Sports;Givors;Court de tennis;4.77213;45.60032
Parc des Sports;Givors;Terrain de football;4.77139;45.59817
Parc des Sports;Givors;Aire de saut;4.77091;45.60065
Circuits de Randonnee - Centre du Village;Grandris;Boucle de randonnée;4.47617;46.0387
Salle Polyvalente;Grandris;Salle multisports (gymnase);4.47749;46.03975
Stade de Football;Grézieu-la-Varenne;Terrain de football;4.69859;45.74871
Espace Cartay;Grézieu-le-Marché;Terrain de football;4.42004;45.65361
Circuits de Randonnees (Place du Village);Grigny;Boucle de randonnée;4.79278;45.6097
Stade Jean Zay;Grigny;Court de tennis;4.78549;45.60946
Stade Jean Zay;Grigny;Terrain de football;4.78558;45.60847
Stade Jean Zay;Grigny;Court de tennis;4.78549;45.60946
Courts de Tennis;Haute-Rivoire;Court de tennis;4.39408;45.71588
Courts de Tennis;Haute-Rivoire;Court de tennis;4.39408;45.71588
Collège Daisy Georges Martin;Irigny;Terrain de volley-ball;4.81708;45.67297
Collège Daisy Georges Martin;Irigny;Stade d’athlétisme;4.81672;45.67404
Collège Daisy Georges Martin;Irigny;Terrain de volley-ball;4.81708;45.67297
Collège Daisy Georges Martin;Irigny;Terrain de basket-ball;4.8165;45.67366
Champvillard;Irigny;Court de tennis;4.81052;45.67009
Champvillard;Irigny;Skate park;4.81047;45.67178
Champvillard;Irigny;Court de tennis;4.81052;45.67009
Zone Sportive;Joux;Terrain de basket-ball;4.37315;45.88821
Plateau Eps;Lachassagne;Plateau EPS/Multisports/city-stades;4.68544;45.92706
Ecole;Lancié;Terrain de basket-ball;4.71194;46.16964
Ecuries de Mangalix;Lentilly;Carrière de dressage/rond de longe;4.66815;45.81775
Halle des Sports;Létra;Structure Artificielle d'Escalade;4.52642;45.9607
Circuits de Randonnees;Létra;Boucle de randonnée;4.52459;45.9621
Parc des Sports;Limonest;Salle multisports (gymnase);4.77454;45.83451
Terrain de Tennis;Lissieu;Court de tennis;4.74182;45.8641
Equipement Public À Vocation Sportive;Lissieu;Dojo / Salle d'arts martiaux;4.74186;45.86513
Salle Polyvalente;Loire-sur-Rhône;Salles polyvalentes / des fêtes / non spécialisées;4.80428;45.56152
Complexe Sportif;Loire-sur-Rhône;Terrain de boules;4.80976;45.56185
Salle Polyvalente Multisports;Lozanne;Salle de cours collectifs;4.68075;45.85559
Circuits de Randonnees;Lucenay;Boucle de randonnée;4.701468;45.913157
Salle des Ballerines;Lucenay;Salle de danse;4.70201;45.91384
Ecole Robert Doisneau;Lucenay;Salles polyvalentes / des fêtes / non spécialisées;4.70388;45.91442
Maison de la Rencontre;Marcy-l'Étoile;Court de tennis;4.70374;45.7839
Maison de la Rencontre;Marcy-l'Étoile;Court de tennis;4.70356;45.78369
Parc du Vourlat;Messimy;Terrain de pétanque;4.67565;45.69165
Parc du Vourlat;Messimy;Court de tennis;4.677046;45.692289
Stade de Football;Meys;Terrain de football;4.38775;45.68377
Skate Park;Millery;Skate park;4.77823;45.62796
Terrains de Tennis;Millery;Court de tennis;4.78523;45.63377
La Poneyterie;Millery;Parcours de cross;4.78067;45.62039
Circuits de Randonnees;Moiré;Boucle de randonnée;4.60163;45.9276
Salle de Fontalet;Monsols;Dojo / Salle d'arts martiaux;4.51708;46.22375
Complexe Sportif;Montrottier;Salle multisports (gymnase);4.4635;45.79215
Complexe Sportif;Montrottier;Terrain de boules;4.46378;45.79201
Ecuries Jean Magistrat;Mornant;Manège;4.70251;45.61099
Complexe Tannerie;Mornant;Piste d'athlétisme isolée;4.6689;45.61832
Complexe Paul Verguin;Mornant;Terrain de football;4.67444;45.62618
Complexe Paul Verguin;Mornant;Court de tennis;4.67486;45.62674
Collège Pierre Ronsard;Mornant;Plateau EPS/Multisports/city-stades;4.6689;45.61832
Les Bassins de l'Aqueduc;Mornant;Bassin ludique de natation;4.672263;45.624566
Plateau du Grand Cèdre;La Mulatière;Plateau EPS/Multisports/city-stades;4.80877;45.72726
Piscine Municipale;La Mulatière;Bassin mixte de natation;4.8072;45.72615
Squash Confluence;La Mulatière;Terrain de soccer;4.814078;45.723369
Aire de Jeux;La Mulatière;Plateau EPS/Multisports/city-stades;4.815239;45.727028
Stand de Tir Neuville;Neuville-sur-Saône;Pas de tir à la cible;4.85731;45.89118
Plateau Multisports de l'Echo;Neuville-sur-Saône;Plateau EPS/Multisports/city-stades;4.84591;45.88293
Collège Jean Renoir;Neuville-sur-Saône;Terrain de rugby;4.844324;45.868759
Salles Margerand;Neuville-sur-Saône;Salles polyvalentes / des fêtes / non spécialisées;4.84117;45.87221
Groupe Scolaire Notre Dame de Bellegarde;Neuville-sur-Saône;Terrain de basket-ball;4.841;45.87002
Groupe Scolaire Notre Dame de Bellegarde;Neuville-sur-Saône;Terrain de football;4.83805;45.87013
Terrains de Boules;Les Olmes;Terrain de boules;4.5183;45.88468
Stade;Orliénas;Court de tennis;4.70517;45.65295
Collège Pierre Brossolette;Oullins;Plateau EPS/Multisports/city-stades;4.79146;45.71567
L'Appart Fitness Oullins;Oullins;Salle de musculation/cardiotraining;4.798751;45.720138
City Stade du Parc du Pardo;Oullins;Plateau EPS/Multisports/city-stades;4.806401;45.712618
Gymnase Jean Jaurès;Oullins;Salle multisports (gymnase);4.818564;45.718407
Gymnase Jean Jaurès;Oullins;Salle de boxe;4.818832;45.718454
P.L.Oullins;Oullins;Terrain de boules;4.809643;45.713021
Stade du Merlo;Oullins;Terrain de football;4.78311;45.72219
Gymnase Maurice Herzog;Oullins;Structure Artificielle d'Escalade;4.81538;45.70999
Foyer Ambroise Croizat;Pierre-Bénite;Salles polyvalentes / des fêtes / non spécialisées;4.82469;45.70255
Hall de Basket Paul Bert;Pierre-Bénite;Salle de basket;4.81762;45.70516
Salle Robert d'Aversa;Pierre-Bénite;Salle multisports (gymnase);4.82968;45.70023
Espace Samuel et Roger Paillat;Pierre-Bénite;Salle multisports (gymnase);4.81938;45.69807
Complexe Sportif Viollet Biasani;Pierre-Bénite;Court de tennis;4.81897;45.70064
Zone Tennis Petanque;Poleymieux-au-Mont-d'Or;Court de tennis;4.79869;45.85568
Stade Jean Benoit Morel;Pollionnay;Terrain de football;4.66907;45.76358
Stade de Football;Pomeys;Terrain de football;4.44905;45.64524
Piscine d'Hurongues;Pomeys;Bassin mixte de natation;4.44336;45.65013
Complexe Sportif Roger Marduel;Pontcharra-sur-Turdine;Terrain de boules;4.50462;45.87381
Complexe Sportif Roger Marduel;Pontcharra-sur-Turdine;Terrain de pétanque;4.50639;45.87302
Complexe Sportif Roger Marduel;Pontcharra-sur-Turdine;Terrain de basket-ball;4.50495;45.87281
Plan d'Eau;Poule-les-Écharmeaux;Site d'activités aquatiques et nautiques;4.4535;46.14976
Vol Libre - Aire de Décollage Ramiers Quicie;Quincié-en-Beaujolais;Aire de décollage;4.62328;46.10427
Boulodrome;Quincié-en-Beaujolais;Terrain de boules;4.61653;46.12045
City Stade;Quincieux;Plateau EPS/Multisports/city-stades;4.781051;45.910399
Stade Chamalan;Quincieux;Skate park;4.769475;45.936202
La Chapelière;Régnié-Durette;Terrain de boules;4.63646;46.13772
Circuit de Randonnee - Place de l'Église;Régnié-Durette;Boucle de randonnée;4.64128;46.13819
Site Naturel d'Escalade Aménagé;Riverie;Site d'escalade en falaise;4.58823;45.59643
Circuits de Randonnees;Rochetaillée-sur-Saône;Boucle de randonnée;4.83486;45.83985
Plateforme Sportive;Sain-Bel;Terrain de football;4.59147;45.81316
Zône Sportive et d'Animation Communale;Les Sauvages;Terrain de football;4.37672;45.92015
Ecole Sainte Marie;Les Sauvages;Terrain de football;4.37536;45.92452
Circuits de Randonnees - Place du 8 Mai;Savigny;Boucle de randonnée;4.576;45.81681
Circuits de Randonnee;Soucieu-en-Jarrest;Boucle de randonnée;4.69583;45.6781
Complexe Sportif;Soucieu-en-Jarrest;Terrain de basket-ball;4.6957;45.67738
Complexe Sportif;Soucieu-en-Jarrest;Salle multisports (gymnase);4.69579;45.6779
Complexe Sportif;Soucieu-en-Jarrest;Court de tennis;4.69644;45.67727
Circuits Randonnees - Place Nicolas Paradis;Saint-Andéol-le-Château;Boucle de randonnée;4.69392;45.5843
Circuits de Randonnee;Sainte-Catherine;Boucle de randonnée;4.5712;45.5979
Terrain de Boules;Sainte-Catherine;Terrain de boules;4.57163;45.59745
Zone Sportive;Sainte-Catherine;Terrain mixte;4.56751;45.59582
Terrain de Boule;Saint-Clément-les-Places;Terrain de boules;4.423296;45.751763
Terrains de Jeux;Saint-Clément-sur-Valsonne;Court de tennis;4.45036;45.92439
Terrains de Jeux;Saint-Clément-sur-Valsonne;Terrain de basket-ball;4.45072;45.92422
Terrains de Boules;Saint-Clément-sur-Valsonne;Terrain de boules;4.4514;45.92396
Sarl Ecurie du Quincieux;Sainte-Consorce;Manège;4.695921;45.776373
Circuits de Randonnees - Parking de la Mairie;Sainte-Consorce;Boucle de randonnée;4.69046;45.7748
Les Ecuries du Vallon;Sainte-Consorce;Manège;4.682368;45.784527
Les Ecuries du Vallon;Sainte-Consorce;Manège;4.682368;45.784527
Salle Polyvalente;Saint-Cyr-au-Mont-d'Or;Dojo / Salle d'arts martiaux;4.81758;45.81651
Jeu de Boules;Saint-Didier-au-Mont-d'Or;Terrain de boules;4.79411;45.83205
Espace Laurent Bonnevay;Saint-Didier-au-Mont-d'Or;Dojo / Salle d'arts martiaux;4.79529;45.81035
Collège Fromente;Saint-Didier-au-Mont-d'Or;Terrain de football;4.7936;45.80833
Collège Fromente;Saint-Didier-au-Mont-d'Or;Terrain de basket-ball;4.79532;45.80929
Jeu de Boules 2;Saint-Didier-sur-Beaujeu;Terrain de boules;4.54581;46.15616
Place du Village;Saint-Didier-sur-Beaujeu;Boucle de randonnée;4.5457;46.15647
Maison des Trois Espaces;Saint-Fons;Salle de gymnastique sportive;4.85578;45.69744
Salle de Billard;Saint-Fons;Salle de billard;4.85214;45.70787
Terrain Multisports Casanova;Saint-Fons;Plateau EPS/Multisports/city-stades;4.86288;45.70987
Complexe Carnot;Saint-Fons;Terrain de football;4.8648;45.70706
Cosec Léo Lagrange;Saint-Fons;Aire de saut;4.853306;45.695
Stade de la Cressoniere;Saint-Fons;Court de tennis;4.85468;45.70408
Ecole Jules Vallès;Saint-Fons;Dojo / Salle d'arts martiaux;4.85771;45.7064
Gymnase Frison Roche;Saint-Fons;Salle multisports (gymnase);4.85953;45.68957
Théâtre Jean Marais;Saint-Fons;Salles polyvalentes / des fêtes / non spécialisées;4.861992;45.708151
Terrains de Boules;Sainte-Foy-l'Argentière;Terrain de boules;4.47256;45.70781
Terrains de Boules;Sainte-Foy-l'Argentière;Terrain de boules;4.47223;45.70792
Complexe Marius Bourrat;Sainte-Foy-lès-Lyon;Terrain de boules;4.803781;45.741994
Tennis Club Fidésien;Sainte-Foy-lès-Lyon;Court de tennis;4.798949;45.739197
Gymnase du Plan du Loup;Sainte-Foy-lès-Lyon;Salle multisports (gymnase);4.788356;45.734732
Ecole de la Graviere;Sainte-Foy-lès-Lyon;Piste d'athlétisme isolée;4.779112;45.73149
Collège le Plan du Loup;Sainte-Foy-lès-Lyon;Salle multisports (gymnase);4.7902;45.73393
Collège le Plan du Loup;Sainte-Foy-lès-Lyon;Piste d'athlétisme isolée;4.790496;45.73398
Arcade;Sainte-Foy-lès-Lyon;Salle de cours collectifs;4.806592;45.749286
Terrain Omnisports Poncet;Saint-Genis-l'Argentière;Court de tennis;4.48754;45.70979
Terrain Omnisports Poncet;Saint-Genis-l'Argentière;Skate park;4.4872;45.71009
Lycée Préssin;Saint-Genis-Laval;Terrain de football;4.776622;45.708902
Ems du Champlong;Saint-Genis-Laval;Plateau EPS/Multisports/city-stades;4.8041;45.69358
Stade de Beauregard;Saint-Genis-Laval;Terrain de football;4.78792;45.69079
Stade de Beauregard;Saint-Genis-Laval;Terrain de football;4.786904;45.690022
Complexe Sportif Henri Fillot;Saint-Genis-Laval;Terrain de football;4.78864;45.68357
Complexe Sportif Henri Fillot;Saint-Genis-Laval;Court de tennis;4.78818;45.68364
Gymnase de la Vuldy;Saint-Genis-les-Ollières;Salle de gymnastique sportive;4.72351;45.75642
Stade Louison Bobet;Saint-Genis-les-Ollières;Court de tennis;4.73328;45.76836
Stade Louison Bobet;Saint-Genis-les-Ollières;Terrain de boules;4.73394;45.76905
Parc Montchervet;Saint-Georges-de-Reneins;Terrain de football;4.72415;46.06021
Stade Jean Lacaze;Saint-Germain-au-Mont-d'Or;Court de tennis;4.81193;45.88268
Plateau Sportif du Colombier;Saint-Germain-Nuelles;Court de tennis;4.60848;45.84823
Plateau Sportif du Colombier;Saint-Germain-Nuelles;Terrain de boules;4.6096;45.84833
Circuits de Randonnee - Place du Village;Saint-Germain-Nuelles;Boucle de randonnée;4.62419;45.8486
Circuits de Randonnees - le Bourg;Saint-Germain-Nuelles;Boucle de randonnée;4.61194;45.853
Stade Municipal;Saint-Jean-la-Bussière;Terrain de football;4.32347;45.99771
Complexe Sportif la Buissoniere;Saint-Jean-la-Bussière;Salle de danse;4.32282;45.99696
Zone Sportive;Saint-Jean-la-Bussière;Skate park;4.32395;45.996666
Boulodrome;Saint-Julien-sur-Bibost;Terrain de boules;4.52307;45.80304
Stade Municipal des Gouttes;Saint-Julien-sur-Bibost;Terrain de football;4.52307;45.80304
Salle Polyvalente;Saint-Julien-sur-Bibost;Salles polyvalentes / des fêtes / non spécialisées;4.51876;45.80366
Stade la Fouillouse;Saint-Just-d'Avray;Terrain de football;4.45729;46.00524
Stade la Fouillouse;Saint-Just-d'Avray;Court de tennis;4.45869;46.00463
Stade de Football;Saint-Lager;Terrain de football;4.67503;46.11095
Zone Sportive de l'Etang;Saint-Laurent-d'Agny;Court de tennis;4.6913;45.64134
Salle Polyvalente;Saint-Laurent-de-Chamousset;Salle multisports (gymnase);4.46167;45.73995
Plateau Sportif;Saint-Laurent-de-Chamousset;Plateau EPS/Multisports/city-stades;4.47229;45.7347
Escapad- Centre Aquatique et de Loisirs du Canton de Saint Laurent de Chamousset;Saint-Laurent-de-Chamousset;Bassin d'exercices aquatiques;4.45693;45.74068
Escapad- Centre Aquatique et de Loisirs du Canton de Saint Laurent de Chamousset;Saint-Laurent-de-Chamousset;Salle de cours collectifs;4.45693;45.74068
Boulodrome;Saint-Laurent-de-Chamousset;Terrain de boules;4.4657;45.73766
Carrières des Chevauchées du Lyonnais;Saint-Laurent-de-Chamousset;Piste de course sur le plat;4.48326;45.73549
Aire de Jeux;Saint-Marcel-l'Éclairé;Terrain de football;4.43117;45.87724
Stade Municipal;Saint-Martin-en-Haut;Terrain de football;4.55834;45.65748
Salle de Gymnastique;Saint-Martin-en-Haut;Salle de gymnastique sportive;4.55946;45.65992
Magic Lena'S Ranch;Chabanière;Carrière;4.631365;45.590621
Courts de Tennis;Chabanière;Mur de tennis;4.63865;45.58804
Courts de Tennis;Chabanière;Court de tennis;4.63868;45.58777
